theta,beta,x,y,phase
0.341207,-3.768768,0.093339,0.068436,swing
0.352703,-3.810829,0.096704,0.065128,swing
0.364248,-3.852489,0.099935,0.061704,swing
0.375843,-3.893737,0.103030,0.058172,swing
0.387487,-3.934560,0.105986,0.054539,swing
0.399181,-3.974949,0.108799,0.050814,swing
0.410924,-4.014891,0.111469,0.047005,swing
0.422717,-4.054376,0.113993,0.043120,swing
0.434559,-4.093394,0.116371,0.039168,swing
0.446450,-4.131935,0.118603,0.035156,swing
0.458391,-4.169990,0.120688,0.031093,swing
0.470382,-4.207548,0.122627,0.026986,swing
0.482421,-4.244602,0.124422,0.022843,swing
0.494511,-4.281141,0.126074,0.018672,swing
0.506649,-4.317159,0.127584,0.014481,swing
0.518838,-4.352647,0.128956,0.010276,swing
0.531075,-4.387597,0.130191,0.006064,swing
0.543362,-4.422003,0.131294,0.001853,swing
0.555699,-4.455858,0.132267,-0.002353,swing
0.568085,-4.489156,0.133115,-0.006545,swing
0.580520,-4.521890,0.133841,-0.010719,swing
0.593005,-4.554055,0.134449,-0.014870,swing
0.605539,-4.585647,0.134945,-0.018992,swing
0.618123,-4.616660,0.135333,-0.023080,swing
0.630756,-4.647091,0.135617,-0.027129,swing
0.643438,-4.676935,0.135803,-0.031137,swing
0.656170,-4.706190,0.135897,-0.035098,swing
0.668952,-4.734853,0.135902,-0.039010,swing
0.681783,-4.762922,0.135825,-0.042869,swing
0.694663,-4.790395,0.135671,-0.046672,swing
0.707593,-4.817271,0.135445,-0.050418,swing
0.720572,-4.843549,0.135153,-0.054103,swing
0.733600,-4.869229,0.134800,-0.057727,swing
0.746679,-4.894312,0.134390,-0.061287,swing
0.759806,-4.918799,0.133931,-0.064783,swing
0.772983,-4.942690,0.133426,-0.068212,swing
0.786209,-4.965989,0.132880,-0.071576,swing
0.799485,-4.988697,0.132299,-0.074872,swing
0.812810,-5.010818,0.131688,-0.078102,swing
0.826185,-5.032357,0.131050,-0.081264,swing
0.839609,-5.053316,0.130391,-0.084360,swing
0.853083,-5.073703,0.129714,-0.087389,swing
0.866606,-5.093521,0.129024,-0.090353,swing
0.880178,-5.112778,0.128324,-0.093251,swing
0.893800,-5.131480,0.127619,-0.096086,swing
0.907472,-5.149635,0.126912,-0.098858,swing
0.921193,-5.167252,0.126206,-0.101568,swing
0.934963,-5.184339,0.125503,-0.104218,swing
0.948783,-5.200906,0.124808,-0.106810,swing
0.962652,-5.216964,0.124122,-0.109345,swing
0.976570,-5.232523,0.123448,-0.111824,swing
0.990538,-5.247594,0.122787,-0.114251,swing
1.004556,-5.262192,0.122142,-0.116626,swing
1.018623,-5.276328,0.121514,-0.118951,swing
1.032739,-5.290017,0.120904,-0.121230,swing
1.046905,-5.303273,0.120313,-0.123464,swing
1.061120,-5.316112,0.119742,-0.125655,swing
1.075384,-5.328550,0.119192,-0.127806,swing
1.089699,-5.340604,0.118662,-0.129920,swing
1.104062,-5.352291,0.118153,-0.131998,swing
1.118475,-5.363631,0.117664,-0.134043,swing
1.132937,-5.374642,0.117194,-0.136058,swing
1.147449,-5.385345,0.116743,-0.138046,swing
1.162011,-5.395760,0.116309,-0.140009,swing
1.176621,-5.405910,0.115891,-0.141950,swing
1.191281,-5.415817,0.115486,-0.143873,swing
1.205991,-5.425504,0.115093,-0.145780,swing
1.220750,-5.434997,0.114709,-0.147674,swing
1.235559,-5.444319,0.114332,-0.149558,swing
1.250417,-5.453498,0.113957,-0.151435,swing
1.265324,-5.462560,0.113582,-0.153309,swing
1.280281,-5.471532,0.113204,-0.155183,swing
1.295287,-5.480445,0.112816,-0.157061,swing
1.299382,-5.489560,0.111651,-0.158324,swing
