theta,beta,x,y,phase
0.659217,0.346818,0.046357,-0.139273,initial
0.658584,0.345510,0.046267,-0.139254,touchdown
0.657951,0.344201,0.046178,-0.139234,touchdown
0.657320,0.342892,0.046088,-0.139215,touchdown
0.656690,0.341581,0.045999,-0.139195,touchdown
0.656062,0.340269,0.045911,-0.139176,touchdown
0.655434,0.338956,0.045822,-0.139156,touchdown
0.654809,0.337643,0.045733,-0.139136,touchdown
0.654184,0.336328,0.045645,-0.139117,touchdown
0.653561,0.335012,0.045557,-0.139097,touchdown
0.652938,0.333696,0.045469,-0.139077,touchdown
0.652318,0.332378,0.045381,-0.139058,touchdown
0.651698,0.331060,0.045294,-0.139038,touchdown
0.651080,0.329740,0.045207,-0.139018,touchdown
0.650463,0.328420,0.045119,-0.138998,touchdown
0.649847,0.327098,0.045032,-0.138978,touchdown
0.649233,0.325776,0.044946,-0.138959,touchdown
0.648620,0.324453,0.044766,-0.138955,touchdown
0.648019,0.323179,0.044585,-0.138952,touchdown
0.647421,0.321903,0.044405,-0.138948,touchdown
0.646825,0.320627,0.044224,-0.138945,touchdown
0.646230,0.319349,0.044044,-0.138942,touchdown
0.645638,0.318070,0.043863,-0.138938,touchdown
0.645048,0.316791,0.043682,-0.138935,touchdown
0.644461,0.315509,0.043502,-0.138932,touchdown
0.643875,0.314227,0.043321,-0.138928,touchdown
0.643291,0.312944,0.043140,-0.138925,touchdown
0.642710,0.311660,0.042960,-0.138922,touchdown
0.642130,0.310374,0.042779,-0.138918,touchdown
0.641553,0.309087,0.042598,-0.138915,touchdown
0.640978,0.307799,0.042418,-0.138912,touchdown
0.640405,0.306511,0.042237,-0.138908,touchdown
0.639834,0.305220,0.042056,-0.138905,touchdown
0.639266,0.303929,0.041876,-0.138902,touchdown
0.638699,0.302637,0.041695,-0.138898,touchdown
0.638135,0.301344,0.041514,-0.138895,touchdown
0.637572,0.300049,0.041334,-0.138892,touchdown
0.637012,0.298753,0.041153,-0.138888,touchdown
0.636454,0.297457,0.040972,-0.138885,touchdown
0.635898,0.296159,0.040792,-0.138882,touchdown
0.635345,0.294860,0.040611,-0.138878,touchdown
0.634793,0.293560,0.040430,-0.138875,touchdown
0.634244,0.292259,0.040250,-0.138872,touchdown
0.633697,0.290956,0.040069,-0.138868,touchdown
0.633152,0.289653,0.039888,-0.138865,touchdown
0.632609,0.288349,0.039708,-0.138862,touchdown
0.632069,0.287043,0.039527,-0.138858,touchdown
0.631530,0.285737,0.039346,-0.138855,touchdown
0.630994,0.284429,0.039166,-0.138852,touchdown
0.630460,0.283120,0.038985,-0.138848,touchdown
0.629928,0.281811,0.038804,-0.138845,touchdown
0.629398,0.280500,0.038624,-0.138842,touchdown
0.628871,0.279188,0.038443,-0.138838,touchdown
0.628346,0.277875,0.038262,-0.138835,touchdown
0.627823,0.276561,0.038082,-0.138832,touchdown
0.627302,0.275246,0.037901,-0.138828,touchdown
0.626783,0.273929,0.037720,-0.138825,touchdown
0.626267,0.272612,0.037540,-0.138822,touchdown
0.625752,0.271294,0.037359,-0.138818,touchdown
0.625240,0.269975,0.037178,-0.138815,touchdown
0.624731,0.268654,0.036998,-0.138812,touchdown
0.624223,0.267333,0.036817,-0.138808,touchdown
0.623718,0.266010,0.036636,-0.138805,touchdown
0.623215,0.264687,0.036456,-0.138802,touchdown
0.622714,0.263362,0.036275,-0.138798,touchdown
0.622215,0.262037,0.036094,-0.138795,touchdown
0.621719,0.260710,0.035914,-0.138792,touchdown
0.621225,0.259383,0.035733,-0.138788,touchdown
0.620733,0.258054,0.035552,-0.138785,touchdown
0.620244,0.256725,0.035372,-0.138782,touchdown
0.619756,0.255394,0.035191,-0.138778,touchdown
0.619271,0.254062,0.035010,-0.138775,touchdown
0.618788,0.252730,0.034829,-0.138772,touchdown
0.618308,0.251396,0.034649,-0.138768,touchdown
0.617829,0.250061,0.034468,-0.138765,touchdown
0.617353,0.248726,0.034287,-0.138762,touchdown
0.616880,0.247389,0.034107,-0.138758,touchdown
0.616408,0.246051,0.033926,-0.138755,touchdown
0.615939,0.244713,0.033745,-0.138752,touchdown
0.615472,0.243373,0.033565,-0.138748,touchdown
0.615007,0.242033,0.033384,-0.138745,touchdown
0.614545,0.240691,0.033203,-0.138742,touchdown
0.614085,0.239348,0.033022,-0.138738,touchdown
0.613627,0.238005,0.032842,-0.138735,touchdown
0.613172,0.236660,0.032661,-0.138732,touchdown
0.612719,0.235315,0.032480,-0.138728,touchdown
0.612268,0.233969,0.032299,-0.138725,touchdown
0.611819,0.232621,0.032119,-0.138722,touchdown
0.611373,0.231273,0.031938,-0.138718,touchdown
0.610929,0.229924,0.031757,-0.138715,touchdown
0.610487,0.228574,0.031577,-0.138712,touchdown
0.610048,0.227222,0.031396,-0.138708,touchdown
0.609611,0.225870,0.031215,-0.138705,touchdown
0.609176,0.224517,0.031034,-0.138702,touchdown
0.608744,0.223163,0.030854,-0.138698,touchdown
0.608314,0.221808,0.030673,-0.138695,touchdown
0.607886,0.220453,0.030492,-0.138692,touchdown
0.607461,0.219096,0.030311,-0.138688,touchdown
0.607038,0.217738,0.030131,-0.138685,touchdown
0.606617,0.216380,0.029950,-0.138682,touchdown
0.606199,0.215020,0.029769,-0.138678,touchdown
0.605783,0.213660,0.029588,-0.138675,touchdown
0.605370,0.212299,0.029407,-0.138672,touchdown
0.604958,0.210937,0.029227,-0.138668,touchdown
0.604549,0.209573,0.029046,-0.138665,touchdown
0.604143,0.208210,0.028865,-0.138662,touchdown
0.603739,0.206845,0.028684,-0.138658,touchdown
0.603337,0.205479,0.028503,-0.138655,touchdown
0.602937,0.204112,0.028323,-0.138652,touchdown
0.602540,0.202745,0.028142,-0.138648,touchdown
0.602146,0.201377,0.027961,-0.138645,touchdown
0.601753,0.200007,0.027780,-0.138642,touchdown
0.601363,0.198637,0.027599,-0.138639,touchdown
0.600976,0.197266,0.027419,-0.138635,touchdown
0.600591,0.195894,0.027238,-0.138632,touchdown
0.600208,0.194522,0.027057,-0.138629,touchdown
0.599827,0.193148,0.026876,-0.138625,touchdown
0.599449,0.191774,0.026695,-0.138622,touchdown
0.599074,0.190399,0.026514,-0.138619,touchdown
0.598700,0.189023,0.026334,-0.138615,touchdown
0.598330,0.187646,0.026153,-0.138612,touchdown
0.597961,0.186268,0.025972,-0.138609,touchdown
0.597595,0.184890,0.025791,-0.138605,touchdown
0.597232,0.183510,0.025610,-0.138602,touchdown
0.596870,0.182130,0.025429,-0.138599,touchdown
0.596512,0.180749,0.025248,-0.138595,touchdown
0.596155,0.179367,0.025068,-0.138592,touchdown
0.595801,0.177985,0.024887,-0.138589,touchdown
0.595450,0.176602,0.024706,-0.138585,touchdown
0.595101,0.175217,0.024525,-0.138582,touchdown
0.594754,0.173832,0.024344,-0.138579,touchdown
0.594410,0.172447,0.024163,-0.138576,touchdown
0.594068,0.171060,0.023982,-0.138572,touchdown
0.593729,0.169673,0.023801,-0.138569,touchdown
0.593392,0.168285,0.023620,-0.138566,touchdown
0.593057,0.166896,0.023439,-0.138562,touchdown
0.592725,0.165506,0.023258,-0.138559,touchdown
0.592396,0.164116,0.023078,-0.138556,touchdown
0.592069,0.162725,0.022897,-0.138552,touchdown
0.591744,0.161333,0.022716,-0.138549,touchdown
0.591422,0.159940,0.022535,-0.138546,touchdown
0.591102,0.158547,0.022354,-0.138542,touchdown
0.590785,0.157153,0.022173,-0.138539,touchdown
0.590470,0.155758,0.021992,-0.138536,touchdown
0.590157,0.154362,0.021811,-0.138533,touchdown
0.589847,0.152966,0.021630,-0.138529,touchdown
0.589540,0.151569,0.021449,-0.138526,touchdown
0.589235,0.150171,0.021268,-0.138523,touchdown
0.588933,0.148773,0.021087,-0.138519,touchdown
0.588633,0.147374,0.020906,-0.138516,touchdown
0.588335,0.145974,0.020725,-0.138513,touchdown
0.588040,0.144573,0.020544,-0.138510,touchdown
0.587747,0.143172,0.020363,-0.138506,touchdown
0.587457,0.141770,0.020182,-0.138503,touchdown
0.587170,0.140367,0.020001,-0.138500,touchdown
0.586885,0.138964,0.019820,-0.138496,touchdown
0.586602,0.137560,0.019639,-0.138493,touchdown
0.586322,0.136155,0.019458,-0.138490,touchdown
0.586044,0.134750,0.019276,-0.138486,touchdown
0.585769,0.133344,0.019095,-0.138483,touchdown
