theta,beta,x,y,phase
1.310122,1.103339,0.025974,-0.149198,swing
1.310126,1.103350,0.025975,-0.149198,swing
1.310153,1.103429,0.025979,-0.149197,swing
1.310232,1.103656,0.025992,-0.149194,swing
1.310390,1.104114,0.026019,-0.149187,swing
1.310658,1.104887,0.026064,-0.149176,swing
1.311061,1.106054,0.026131,-0.149160,swing
1.311628,1.107694,0.026227,-0.149136,swing
1.312384,1.109886,0.026354,-0.149104,swing
1.313357,1.112709,0.026517,-0.149063,swing
1.314572,1.116243,0.026722,-0.149010,swing
1.316057,1.120572,0.026972,-0.148943,swing
1.317839,1.125782,0.027274,-0.148861,swing
1.319947,1.131964,0.027631,-0.148760,swing
1.322408,1.139212,0.028050,-0.148638,swing
1.325250,1.147621,0.028535,-0.148491,swing
1.328501,1.157290,0.029091,-0.148313,swing
1.332185,1.168316,0.029724,-0.148101,swing
1.336325,1.180795,0.030439,-0.147848,swing
1.340941,1.194818,0.031239,-0.147547,swing
1.346047,1.210467,0.032127,-0.147192,swing
1.351650,1.227816,0.033107,-0.146773,swing
1.357754,1.246923,0.034178,-0.146281,swing
1.364351,1.267827,0.035339,-0.145708,swing
1.371427,1.290549,0.036587,-0.145043,swing
1.378957,1.315081,0.037917,-0.144276,swing
1.386906,1.341390,0.039321,-0.143399,swing
1.395231,1.369410,0.040788,-0.142402,swing
1.403878,1.399042,0.042306,-0.141281,swing
1.412786,1.430153,0.043857,-0.140030,swing
1.421884,1.462571,0.045426,-0.138648,swing
1.431098,1.496091,0.046991,-0.137138,swing
1.440346,1.530468,0.048533,-0.135507,swing
1.449544,1.565427,0.050031,-0.133765,swing
1.458608,1.600659,0.051465,-0.131928,swing
1.467454,1.635827,0.052817,-0.130018,swing
1.475998,1.670573,0.054071,-0.128060,swing
1.484162,1.704520,0.055214,-0.126081,swing
1.491872,1.737280,0.056238,-0.124115,swing
1.499059,1.768461,0.057138,-0.122194,swing
1.505661,1.797675,0.057913,-0.120354,swing
1.511622,1.824543,0.058567,-0.118630,swing
1.516895,1.848706,0.059105,-0.117055,swing
1.521436,1.869832,0.059537,-0.115660,swing
1.525211,1.887619,0.059872,-0.114474,swing
1.528191,1.901807,0.060121,-0.113520,swing
1.530352,1.912182,0.060292,-0.112819,swing
1.531678,1.918580,0.060392,-0.112384,swing
1.532155,1.920891,0.060428,-0.112227,swing
1.531777,1.919061,0.060400,-0.112352,swing
1.530542,1.913097,0.060306,-0.112757,swing
1.528454,1.903064,0.060142,-0.113435,swing
1.525521,1.889083,0.059899,-0.114376,swing
1.521759,1.871333,0.059567,-0.115560,swing
1.517188,1.850043,0.059134,-0.116967,swing
1.511836,1.825492,0.058589,-0.118569,swing
1.505740,1.797997,0.057922,-0.120334,swing
1.498944,1.767913,0.057123,-0.122228,swing
1.491499,1.735622,0.056189,-0.124215,swing
1.483467,1.701529,0.055118,-0.126258,swing
1.474917,1.666047,0.053914,-0.128318,swing
1.465927,1.629598,0.052585,-0.130362,swing
1.456582,1.592596,0.051146,-0.132355,swing
1.446974,1.555448,0.049613,-0.134270,swing
1.437199,1.518539,0.048008,-0.136082,swing
1.427357,1.482231,0.046354,-0.137772,swing
1.417547,1.446856,0.044676,-0.139328,swing
1.407868,1.412710,0.042997,-0.140741,swing
1.398414,1.380050,0.041342,-0.142008,swing
1.389273,1.349093,0.039732,-0.143132,swing
1.380525,1.320015,0.038187,-0.144117,swing
1.372240,1.292946,0.036723,-0.144971,swing
1.364474,1.267978,0.035352,-0.145705,swing
1.357272,1.245160,0.034085,-0.146330,swing
1.350666,1.224504,0.032926,-0.146857,swing
1.344673,1.205989,0.031879,-0.147298,swing
1.339300,1.189559,0.030945,-0.147664,swing
1.334538,1.175134,0.030121,-0.147967,swing
1.330370,1.162610,0.029403,-0.148215,swing
1.326768,1.151863,0.028785,-0.148417,swing
1.323698,1.142756,0.028260,-0.148580,swing
1.321118,1.135140,0.027820,-0.148710,swing
1.318983,1.128864,0.027458,-0.148814,swing
1.317244,1.123771,0.027163,-0.148896,swing
1.315854,1.119708,0.026928,-0.148960,swing
1.314763,1.116527,0.026744,-0.149009,swing
1.313925,1.114088,0.026603,-0.149045,swing
1.313296,1.112260,0.026497,-0.149073,swing
1.312836,1.110926,0.026420,-0.149092,swing
1.312511,1.109980,0.026365,-0.149106,swing
1.312287,1.109331,0.026327,-0.149116,swing
1.312140,1.108905,0.026303,-0.149122,swing
1.312048,1.108636,0.026287,-0.149126,swing
1.311993,1.108476,0.026278,-0.149128,swing
1.311962,1.108387,0.026273,-0.149129,swing
1.311946,1.108341,0.026270,-0.149130,swing
1.311939,1.108320,0.026269,-0.149130,swing
1.311936,1.108311,0.026268,-0.149130,swing
1.311935,1.108307,0.026268,-0.149130,swing
1.311935,1.108306,0.026268,-0.149130,swing
1.311935,1.108306,0.026268,-0.149131,swing
