theta0,beta0,theta1,beta1,theta2,beta2,theta3,beta3,swing_phase0,swing_phase1,swing_phase2,swing_phase3,foothold0_x,foothold0_y,foothold0_z,foothold1_x,foothold1_y,foothold1_z,foothold2_x,foothold2_y,foothold2_z,foothold3_x,foothold3_y,foothold3_z
0.701281,-0.195891,0.797548,0.452512,0.703824,0.200937,1.077089,0.758872,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701125,-0.196299,0.797343,0.452240,0.703739,0.200610,1.076778,0.758664,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701125,-0.196299,0.797343,0.452240,0.703739,0.200610,1.076778,0.758664,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700955,-0.196746,0.797139,0.451969,0.703654,0.200282,1.076466,0.758456,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700955,-0.196746,0.797139,0.451969,0.703654,0.200282,1.076466,0.758456,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700771,-0.197230,0.796935,0.451698,0.703570,0.199954,1.076155,0.758247,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700771,-0.197230,0.796935,0.451698,0.703570,0.199954,1.076155,0.758247,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700573,-0.197751,0.796731,0.451426,0.703485,0.199626,1.075844,0.758039,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700573,-0.197751,0.796731,0.451426,0.703485,0.199626,1.075844,0.758039,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700361,-0.198309,0.796527,0.451154,0.703401,0.199299,1.075533,0.757831,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700361,-0.198309,0.796527,0.451154,0.703401,0.199299,1.075533,0.757831,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700134,-0.198905,0.796323,0.450883,0.703316,0.198971,1.075223,0.757622,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.700134,-0.198905,0.796323,0.450883,0.703316,0.198971,1.075223,0.757622,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
