theta,beta,x,y,phase
0.732656,0.329480,0.032344,-0.147941,initial
0.732427,0.328845,0.032302,-0.147941,touchdown
0.732198,0.328210,0.032261,-0.147941,touchdown
0.731970,0.327574,0.032219,-0.147941,touchdown
0.731742,0.326938,0.032178,-0.147941,touchdown
0.731515,0.326302,0.032137,-0.147941,touchdown
0.731288,0.325666,0.032096,-0.147941,touchdown
0.731061,0.325030,0.032054,-0.147941,touchdown
0.730835,0.324394,0.032013,-0.147941,touchdown
0.730609,0.323757,0.031972,-0.147941,touchdown
0.730383,0.323121,0.031931,-0.147941,touchdown
0.730158,0.322484,0.031890,-0.147941,touchdown
0.729933,0.321847,0.031849,-0.147941,touchdown
0.729708,0.321210,0.031808,-0.147941,touchdown
0.729484,0.320572,0.031767,-0.147941,touchdown
0.729260,0.319935,0.031726,-0.147941,touchdown
0.729037,0.319298,0.031685,-0.147941,touchdown
0.728813,0.318660,0.031644,-0.147941,touchdown
0.728591,0.318022,0.031604,-0.147941,touchdown
0.728368,0.317384,0.031563,-0.147941,touchdown
0.728146,0.316746,0.031522,-0.147941,touchdown
0.727924,0.316108,0.031481,-0.147941,touchdown
0.727703,0.315469,0.031441,-0.147941,touchdown
0.727482,0.314831,0.031400,-0.147941,touchdown
0.727261,0.314192,0.031360,-0.147941,touchdown
0.727040,0.313553,0.031319,-0.147941,touchdown
0.726820,0.312914,0.031279,-0.147941,touchdown
0.726600,0.312275,0.031238,-0.147941,touchdown
0.726381,0.311636,0.031198,-0.147941,touchdown
0.726162,0.310996,0.031157,-0.147941,touchdown
0.725943,0.310356,0.031117,-0.147941,touchdown
0.725725,0.309717,0.031077,-0.147941,touchdown
0.725507,0.309077,0.031036,-0.147941,touchdown
0.725289,0.308437,0.030996,-0.147941,touchdown
0.725072,0.307797,0.030956,-0.147941,touchdown
0.724855,0.307156,0.030916,-0.147941,touchdown
0.724638,0.306516,0.030876,-0.147941,touchdown
0.724422,0.305875,0.030836,-0.147941,touchdown
0.724206,0.305235,0.030795,-0.147941,touchdown
0.723990,0.304594,0.030755,-0.147941,touchdown
0.723775,0.303953,0.030715,-0.147941,touchdown
0.723560,0.303312,0.030675,-0.147941,touchdown
0.723345,0.302670,0.030636,-0.147941,touchdown
0.723131,0.302029,0.030596,-0.147941,touchdown
0.722917,0.301387,0.030556,-0.147941,touchdown
0.722703,0.300746,0.030516,-0.147941,touchdown
0.722490,0.300104,0.030476,-0.147941,touchdown
0.722277,0.299462,0.030436,-0.147941,touchdown
0.722064,0.298820,0.030397,-0.147941,touchdown
0.721852,0.298177,0.030357,-0.147941,touchdown
0.721640,0.297535,0.030317,-0.147941,touchdown
0.721428,0.296892,0.030278,-0.147941,touchdown
0.721217,0.296250,0.030238,-0.147941,touchdown
0.721006,0.295607,0.030199,-0.147941,touchdown
0.720795,0.294964,0.030159,-0.147941,touchdown
0.720585,0.294321,0.030120,-0.147941,touchdown
0.720375,0.293677,0.030080,-0.147941,touchdown
0.720166,0.293034,0.030041,-0.147941,touchdown
0.719956,0.292391,0.030001,-0.147941,touchdown
0.719747,0.291747,0.029962,-0.147941,touchdown
0.719539,0.291103,0.029923,-0.147941,touchdown
0.719330,0.290459,0.029884,-0.147941,touchdown
0.719122,0.289815,0.029844,-0.147942,touchdown
0.718915,0.289171,0.029805,-0.147942,touchdown
0.718707,0.288527,0.029766,-0.147942,touchdown
0.718500,0.287882,0.029727,-0.147942,touchdown
0.718294,0.287238,0.029688,-0.147942,touchdown
0.718087,0.286593,0.029649,-0.147942,touchdown
0.717881,0.285948,0.029610,-0.147942,touchdown
0.717676,0.285303,0.029571,-0.147942,touchdown
0.717470,0.284658,0.029532,-0.147942,touchdown
0.717265,0.284013,0.029493,-0.147942,touchdown
0.717060,0.283367,0.029454,-0.147942,touchdown
0.716856,0.282722,0.029415,-0.147942,touchdown
0.716652,0.282076,0.029376,-0.147942,touchdown
0.716448,0.281430,0.029337,-0.147942,touchdown
0.716245,0.280784,0.029299,-0.147942,touchdown
0.716042,0.280138,0.029260,-0.147942,touchdown
0.715839,0.279492,0.029221,-0.147942,touchdown
0.715637,0.278846,0.029183,-0.147942,touchdown
0.715434,0.278199,0.029144,-0.147942,touchdown
0.715233,0.277553,0.029105,-0.147942,touchdown
0.715031,0.276906,0.029067,-0.147942,touchdown
0.714830,0.276259,0.029028,-0.147942,touchdown
0.714629,0.275612,0.028990,-0.147942,touchdown
0.714429,0.274965,0.028951,-0.147942,touchdown
0.714228,0.274318,0.028913,-0.147942,touchdown
0.714028,0.273671,0.028875,-0.147942,touchdown
0.713829,0.273023,0.028836,-0.147942,touchdown
0.713630,0.272375,0.028798,-0.147942,touchdown
0.713431,0.271728,0.028760,-0.147942,touchdown
0.713232,0.271080,0.028721,-0.147942,touchdown
0.713034,0.270432,0.028683,-0.147942,touchdown
0.712836,0.269784,0.028645,-0.147942,touchdown
0.712638,0.269136,0.028607,-0.147942,touchdown
0.712441,0.268487,0.028569,-0.147942,touchdown
