theta,beta,x,y,phase
1.310850,-1.107488,-0.134867,0.068731,swing
1.310833,-1.107509,-0.134864,0.068735,swing
1.310801,-1.107550,-0.134859,0.068742,swing
1.310753,-1.107611,-0.134850,0.068753,swing
1.310689,-1.107692,-0.134839,0.068768,swing
1.310610,-1.107790,-0.134825,0.068786,swing
1.310517,-1.107907,-0.134809,0.068807,swing
1.310410,-1.108041,-0.134791,0.068832,swing
1.310288,-1.108192,-0.134769,0.068859,swing
1.310153,-1.108360,-0.134746,0.068890,swing
1.310005,-1.108543,-0.134720,0.068924,swing
1.309843,-1.108742,-0.134692,0.068960,swing
1.309669,-1.108956,-0.134662,0.068999,swing
1.309482,-1.109185,-0.134630,0.069041,swing
1.309283,-1.109428,-0.134596,0.069086,swing
1.309072,-1.109684,-0.134560,0.069133,swing
1.308849,-1.109954,-0.134521,0.069183,swing
1.308615,-1.110237,-0.134481,0.069235,swing
1.308369,-1.110532,-0.134439,0.069289,swing
1.308113,-1.110840,-0.134395,0.069345,swing
1.307845,-1.111159,-0.134349,0.069404,swing
1.307567,-1.111490,-0.134302,0.069465,swing
1.307278,-1.111833,-0.134253,0.069528,swing
1.306979,-1.112186,-0.134202,0.069594,swing
1.306670,-1.112550,-0.134149,0.069661,swing
1.306352,-1.112924,-0.134095,0.069730,swing
1.306023,-1.113308,-0.134039,0.069801,swing
1.305685,-1.113701,-0.133982,0.069873,swing
1.305337,-1.114105,-0.133923,0.069948,swing
1.304981,-1.114517,-0.133863,0.070024,swing
1.304615,-1.114939,-0.133801,0.070102,swing
1.304240,-1.115369,-0.133737,0.070182,swing
1.303856,-1.115807,-0.133673,0.070263,swing
1.303464,-1.116254,-0.133606,0.070346,swing
1.303063,-1.116709,-0.133539,0.070430,swing
1.302654,-1.117172,-0.133470,0.070516,swing
1.302236,-1.117642,-0.133400,0.070604,swing
1.301810,-1.118120,-0.133328,0.070692,swing
1.301376,-1.118605,-0.133256,0.070782,swing
1.300934,-1.119097,-0.133182,0.070874,swing
1.300484,-1.119595,-0.133106,0.070966,swing
1.300026,-1.120101,-0.133030,0.071060,swing
1.299561,-1.120613,-0.132952,0.071156,swing
1.299088,-1.121131,-0.132873,0.071252,swing
1.298607,-1.121656,-0.132793,0.071350,swing
1.298119,-1.122187,-0.132712,0.071449,swing
1.297624,-1.122723,-0.132629,0.071549,swing
1.297121,-1.123266,-0.132546,0.071650,swing
1.296611,-1.123813,-0.132461,0.071752,swing
1.296094,-1.124367,-0.132375,0.071855,swing
1.295570,-1.124926,-0.132288,0.071960,swing
1.295038,-1.125490,-0.132200,0.072065,swing
1.294500,-1.126059,-0.132111,0.072171,swing
1.293955,-1.126633,-0.132021,0.072279,swing
