i,theta (deg),beta (deg),height (mm)
189,43.1502,39.731,0.129699
190,43.1166,39.7012,0.129699
191,43.0831,39.6713,0.129699
192,43.0496,39.6414,0.129699
193,43.0161,39.6115,0.129699
194,42.9826,39.5815,0.129699
195,42.9492,39.5516,0.129699
196,42.9157,39.5216,0.129699
197,42.8823,39.4916,0.129699
198,42.849,39.4616,0.129699
199,42.8156,39.4315,0.129699
200,42.7823,39.4015,0.129699
201,42.749,39.3714,0.129699
202,42.7157,39.3413,0.129699
203,42.6825,39.3111,0.129699
204,42.6492,39.281,0.129699
205,42.616,39.2508,0.129699
206,42.5828,39.2206,0.129699
207,42.5497,39.1904,0.129699
208,42.5166,39.1601,0.129699
209,42.4835,39.1298,0.129699
210,42.4504,39.0995,0.129699
211,42.4173,39.0692,0.129699
212,42.3843,39.0389,0.129699
213,42.3513,39.0085,0.129699
214,42.3183,38.9781,0.129699
215,42.2853,38.9477,0.129699
216,42.2524,38.9173,0.129699
217,42.2195,38.8869,0.129699
218,42.1866,38.8564,0.129699
219,42.1537,38.8259,0.129699
220,42.1209,38.7954,0.129699
221,42.088,38.7648,0.129699
222,42.0553,38.7343,0.129699
223,42.0225,38.7037,0.129699
224,41.9897,38.6731,0.129699
225,41.957,38.6424,0.129699
226,41.9243,38.6118,0.129699
227,41.8916,38.5811,0.129699
228,41.859,38.5504,0.129699
229,41.8264,38.5197,0.129699
230,41.7938,38.489,0.129699
231,41.7612,38.4582,0.129699
232,41.7286,38.4274,0.129699
233,41.6961,38.3966,0.129699
234,41.6636,38.3658,0.129699
235,41.6311,38.3349,0.129699
236,41.5986,38.304,0.129699
237,41.5662,38.2731,0.129699
238,41.5338,38.2422,0.129699
239,41.5014,38.2113,0.129699
240,41.4691,38.1803,0.129699
241,41.4367,38.1493,0.129699
242,41.4044,38.1183,0.129699
243,41.3721,38.0873,0.129699
244,41.3398,38.0562,0.129699
245,41.3076,38.0251,0.129699
246,41.2754,37.994,0.129699
247,41.2432,37.9629,0.129699
248,41.211,37.9317,0.129699
249,41.1789,37.9006,0.129699
250,41.1467,37.8694,0.129699
251,41.1146,37.8382,0.129699
252,41.0826,37.8069,0.129699
253,41.0505,37.7757,0.129699
254,41.0185,37.7444,0.129699
255,40.9865,37.7131,0.129699
256,40.9545,37.6817,0.129699
257,40.9225,37.6504,0.129699
258,40.8906,37.619,0.129699
259,40.8587,37.5876,0.129699
260,40.8268,37.5562,0.129699
261,40.7949,37.5248,0.129699
262,40.7631,37.4933,0.129699
263,40.7313,37.4618,0.129699
264,40.6995,37.4303,0.129699
265,40.6677,37.3988,0.129699
266,40.636,37.3672,0.129699
267,40.6043,37.3357,0.129699
