t,theta,beta,gamma,in_stance
0.122958,1.745329,-0.248337,0.000000,0
0.123957,1.745329,-0.242784,0.000000,0
0.124957,1.745329,-0.237019,0.000000,0
0.125956,1.745329,-0.231043,0.000000,0
0.126956,1.745329,-0.224855,0.000000,0
0.127956,1.745329,-0.218456,0.000000,0
0.128955,1.745329,-0.211846,0.000000,0
0.129955,1.745329,-0.205145,0.000000,0
0.130955,1.745329,-0.198445,0.000000,0
0.131954,1.745329,-0.191745,0.000000,0
0.132954,1.745329,-0.185044,0.000000,0
0.133954,1.745329,-0.178344,0.000000,0
0.134953,1.745329,-0.171643,0.000000,0
0.135953,1.745329,-0.164943,0.000000,0
0.136953,1.745329,-0.158242,0.000000,0
0.137952,1.745329,-0.151542,0.000000,0
0.138952,1.745329,-0.144841,0.000000,0
0.139952,1.745329,-0.138141,0.000000,0
0.140951,1.745329,-0.131441,0.000000,0
0.141951,1.745329,-0.124740,0.000000,0
0.142951,1.745329,-0.118040,0.000000,0
0.143950,1.745329,-0.111339,0.000000,0
0.144950,1.745329,-0.104639,0.000000,0
0.145950,1.745329,-0.097938,0.000000,0
0.146949,1.745329,-0.091238,0.000000,0
0.147949,1.745329,-0.084537,0.000000,0
0.148949,1.745329,-0.077837,0.000000,0
0.149948,1.745329,-0.071136,0.000000,0
0.150948,1.745329,-0.064436,0.000000,0
0.151948,1.745329,-0.057736,0.000000,0
0.152947,1.745329,-0.051035,0.000000,0
0.153947,1.745329,-0.044335,0.000000,0
0.154946,1.745329,-0.037634,0.000000,0
0.155946,1.745329,-0.030934,0.000000,0
0.156946,1.745329,-0.024233,0.000000,0
0.157945,1.745329,-0.017533,0.000000,0
0.158945,1.745329,-0.010832,0.000000,0
0.159945,1.745329,-0.004132,0.000000,0
0.160944,1.745329,0.002568,0.000000,0
0.161944,1.745329,0.009269,0.000000,0
0.162944,1.745329,0.015969,0.000000,0
0.163943,1.745329,0.022670,0.000000,0
0.164943,1.745329,0.029370,0.000000,0
0.165943,1.745329,0.036071,0.000000,0
0.166942,1.745329,0.042771,0.000000,0
0.167942,1.745329,0.049472,0.000000,0
0.168942,1.745329,0.056172,0.000000,0
0.169941,1.745329,0.062873,0.000000,0
0.170941,1.745329,0.069573,0.000000,0
0.171941,1.745329,0.076273,0.000000,0
