t,theta,beta,gamma,in_stance
0.137971,1.745329,-0.000000,0.000000,0
0.138970,1.745329,-0.000000,0.000000,0
0.139970,1.745329,-0.000000,0.000000,0
0.140970,1.745329,-0.000000,0.000000,0
0.141970,1.745329,-0.000000,0.000000,0
0.142970,1.745329,-0.000000,0.000000,0
0.143969,1.745329,-0.000000,0.000000,0
0.144969,1.745329,-0.000000,0.000000,0
0.145969,1.745329,-0.000000,0.000000,0
0.146969,1.745329,-0.000000,0.000000,0
0.147969,1.745329,-0.000000,0.000000,0
0.148968,1.745329,-0.000000,0.000000,0
0.149968,1.745329,-0.000000,0.000000,0
0.150968,1.745329,-0.000000,0.000000,0
0.151968,1.745329,-0.000000,0.000000,0
0.152967,1.745329,-0.000000,0.000000,0
0.153967,1.745329,-0.000000,0.000000,0
0.154967,1.745329,-0.000000,0.000000,0
0.155967,1.745329,-0.000000,0.000000,0
0.156967,1.745329,-0.000000,0.000000,0
0.157966,1.745329,-0.000000,0.000000,0
0.158966,1.745329,-0.000000,0.000000,0
0.159966,1.745329,-0.000000,0.000000,0
0.160966,1.745329,-0.000000,0.000000,0
0.161966,1.745329,-0.000000,0.000000,0
0.162965,1.745329,-0.000000,0.000000,0
0.163965,1.745329,-0.000000,0.000000,0
0.164965,1.745329,-0.000000,0.000000,0
0.165965,1.745329,-0.000000,0.000000,0
0.166964,1.745329,-0.000000,0.000000,0
0.167964,1.745329,-0.000000,0.000000,0
0.168964,1.745329,-0.000000,0.000000,0
0.169964,1.745329,-0.000000,0.000000,0
0.170964,1.745329,-0.000000,0.000000,0
0.171963,1.745329,-0.000000,0.000000,0
0.172963,1.745329,-0.000000,0.000000,0
0.173963,1.745329,-0.000000,0.000000,0
0.174963,1.745329,-0.000000,0.000000,0
0.175963,1.745329,-0.000000,0.000000,0
0.176962,1.745329,-0.000000,0.000000,0
0.177962,1.745329,-0.000000,0.000000,0
0.178962,1.745329,-0.000000,0.000000,0
0.179962,1.745329,-0.000000,0.000000,0
0.180961,1.745329,-0.000000,0.000000,0
0.181961,1.745329,-0.000000,0.000000,0
0.182961,1.745329,-0.000000,0.000000,0
0.183961,1.745329,-0.000000,0.000000,0
0.184961,1.745329,-0.000000,0.000000,0
0.185960,1.745329,-0.000000,0.000000,0
0.186960,1.745329,-0.000000,0.000000,0
0.187960,1.745329,-0.000000,0.000000,0
0.188960,1.745329,-0.000000,0.000000,0
0.189960,1.745329,-0.000000,0.000000,0
0.190959,1.745329,-0.000000,0.000000,0
0.191959,1.745329,-0.000000,0.000000,0
0.192959,1.745329,-0.000000,0.000000,0
0.193959,1.745329,-0.000000,0.000000,0
0.194959,1.745329,-0.000000,0.000000,0
0.195958,1.745329,-0.000000,0.000000,0
0.196958,1.745329,-0.000000,0.000000,0
0.197958,1.745329,-0.000000,0.000000,0
0.198958,1.745329,-0.000000,0.000000,0
0.199957,1.745329,-0.000000,0.000000,0
0.200957,1.745329,-0.000000,0.000000,0
0.201957,1.745329,-0.000000,0.000000,0
0.202957,1.745329,-0.000000,0.000000,0
0.203957,1.745329,-0.000000,0.000000,0
0.204956,1.745329,-0.000000,0.000000,0
0.205956,1.745329,-0.000000,0.000000,0
0.206956,1.745329,-0.000000,0.000000,0
0.207956,1.745329,-0.000000,0.000000,0
0.208956,1.745329,-0.000000,0.000000,0
0.209955,1.745329,-0.000000,0.000000,0
0.210955,1.745329,-0.000000,0.000000,0
0.211955,1.745329,-0.000000,0.000000,0
0.212955,1.745329,-0.000000,0.000000,0
0.213954,1.745329,-0.000000,0.000000,0
0.214954,1.745329,-0.000000,0.000000,0
0.215954,1.745329,-0.000000,0.000000,0
0.216954,1.745329,-0.000000,0.000000,0
0.217954,1.745329,-0.000000,0.000000,0
0.218953,1.745329,-0.000000,0.000000,0
0.219953,1.745329,-0.000000,0.000000,0
0.220953,1.745329,-0.000000,0.000000,0
0.221953,1.745329,-0.000000,0.000000,0
0.222953,1.745329,-0.000000,0.000000,0
0.223952,1.745329,-0.000000,0.000000,0
0.224952,1.745329,-0.000000,0.000000,0
0.225952,1.745329,-0.000000,0.000000,0
0.226952,1.745329,-0.000000,0.000000,0
0.227951,1.745329,-0.000000,0.000000,0
0.228951,1.745329,-0.000000,0.000000,0
0.229951,1.745329,-0.000000,0.000000,0
0.230951,1.745329,-0.000000,0.000000,0
0.231951,1.745329,-0.000000,0.000000,0
0.232950,1.745329,-0.000000,0.000000,0
0.233950,1.745329,-0.000000,0.000000,0
0.234950,1.745329,-0.000000,0.000000,0
0.235950,1.745329,-0.000000,0.000000,0
0.236950,1.745329,-0.000000,0.000000,0
0.237949,1.745329,-0.000000,0.000000,0
0.238949,1.745329,-0.000000,0.000000,0
0.239949,1.745329,-0.000000,0.000000,0
0.240949,1.745329,-0.000000,0.000000,0
0.241949,1.745329,-0.000000,0.000000,0
0.242948,1.745329,-0.000000,0.000000,0
0.243948,1.745329,-0.000000,0.000000,0
0.244948,1.745329,-0.000000,0.000000,0
0.245948,1.745329,-0.000000,0.000000,0
0.246947,1.745329,-0.000000,0.000000,0
0.247947,1.745329,-0.000000,0.000000,0
0.248947,1.745329,-0.000000,0.000000,0
0.249947,1.745329,-0.000000,0.000000,0
0.250947,1.745329,-0.000000,0.000000,0
0.251946,1.745329,-0.000000,0.000000,0
0.252946,1.745329,-0.000000,0.000000,0
0.253946,1.745329,-0.000000,0.000000,0
0.254946,1.745329,-0.000000,0.000000,0
0.255946,1.745329,-0.000000,0.000000,0
0.256945,1.745329,-0.000000,0.000000,0
0.257945,1.745329,-0.000000,0.000000,0
0.258945,1.745329,-0.000000,0.000000,0
0.259945,1.745329,-0.000000,0.000000,0
0.260944,1.745329,-0.000000,0.000000,0
0.261944,1.745329,-0.000000,0.000000,0
0.262944,1.745329,-0.000000,0.000000,0
0.263944,1.745329,-0.000000,0.000000,0
0.264944,1.745329,-0.000000,0.000000,0
0.265943,1.745329,-0.000000,0.000000,0
0.266943,1.745329,-0.000000,0.000000,0
0.267943,1.745329,-0.000000,0.000000,1
0.268943,1.738254,-0.000000,0.000000,1
0.269943,1.731098,-0.000000,0.000000,1
0.270942,1.723871,-0.000000,0.000000,1
0.271942,1.716585,-0.000000,0.000000,1
0.272942,1.709250,-0.000000,0.000000,1
0.273942,1.701876,-0.000000,0.000000,1
0.274941,1.694475,-0.000000,0.000000,1
0.275941,1.687055,-0.000000,0.000000,1
0.276941,1.679627,-0.000000,0.000000,1
0.277941,1.672200,-0.000000,0.000000,1
0.278941,1.664784,-0.000000,0.000000,1
0.279940,1.657389,-0.000000,0.000000,1
0.280940,1.650023,-0.000000,0.000000,1
0.281940,1.642696,-0.000000,0.000000,1
0.282940,1.635415,-0.000000,0.000000,1
0.283940,1.628191,-0.000000,0.000000,1
0.284939,1.621032,-0.000000,0.000000,1
0.285939,1.613945,-0.000000,0.000000,1
0.286939,1.606939,-0.000000,0.000000,1
0.287939,1.600022,-0.000000,0.000000,1
0.288939,1.593202,-0.000000,0.000000,1
0.289938,1.586486,-0.000000,0.000000,1
0.290938,1.579881,-0.000000,0.000000,1
0.291938,1.573396,-0.000000,0.000000,1
0.292938,1.567037,-0.000000,0.000000,1
0.293937,1.560811,-0.000000,0.000000,1
0.294937,1.554724,-0.000000,0.000000,1
0.295937,1.548784,-0.000000,0.000000,1
0.296937,1.542995,-0.000000,0.000000,1
0.297937,1.537366,-0.000000,0.000000,1
0.298936,1.531901,-0.000000,0.000000,1
0.299936,1.526606,-0.000000,0.000000,1
0.300936,1.521486,-0.000000,0.000000,1
0.301936,1.516548,-0.000000,0.000000,1
0.302936,1.511795,-0.000000,0.000000,1
0.303935,1.507234,-0.000000,0.000000,1
0.304935,1.502868,-0.000000,0.000000,1
0.305935,1.498701,-0.000000,0.000000,1
0.306935,1.494739,-0.000000,0.000000,1
0.307934,1.490985,-0.000000,0.000000,1
0.308934,1.487443,-0.000000,0.000000,1
0.309934,1.484116,-0.000000,0.000000,1
0.310934,1.481009,-0.000000,0.000000,1
0.311934,1.478122,-0.000000,0.000000,1
0.312933,1.475461,-0.000000,0.000000,1
0.313933,1.473027,-0.000000,0.000000,1
0.314933,1.470823,-0.000000,0.000000,1
0.315933,1.468850,-0.000000,0.000000,1
0.316933,1.467112,-0.000000,0.000000,1
0.317932,1.465609,-0.000000,0.000000,1
0.318932,1.464343,-0.000000,0.000000,1
0.319932,1.463316,-0.000000,0.000000,1
0.320932,1.462527,-0.000000,0.000000,1
0.321931,1.461979,-0.000000,0.000000,1
0.322931,1.461671,-0.000000,0.000000,1
0.323931,1.461605,-0.000000,0.000000,1
0.324931,1.461779,-0.000000,0.000000,1
0.325931,1.462194,-0.000000,0.000000,1
0.326930,1.462849,-0.000000,0.000000,1
0.327930,1.463744,-0.000000,0.000000,1
0.328930,1.464878,-0.000000,0.000000,1
0.329930,1.466250,-0.000000,0.000000,1
0.330930,1.467858,-0.000000,0.000000,1
0.331929,1.469701,-0.000000,0.000000,1
0.332929,1.471777,-0.000000,0.000000,1
0.333929,1.474084,-0.000000,0.000000,1
0.334929,1.476619,-0.000000,0.000000,1
0.335929,1.479381,-0.000000,0.000000,1
0.336928,1.482366,-0.000000,0.000000,1
0.337928,1.485572,-0.000000,0.000000,1
