t,theta,beta,gamma,in_stance
0.000000,1.745329,-0.109083,0.000000,1
0.000999,1.740218,-0.107387,0.000000,1
0.001998,1.735029,-0.105688,0.000000,1
0.002998,1.729771,-0.103986,0.000000,1
0.003997,1.724451,-0.102279,0.000000,1
0.004996,1.719079,-0.100568,0.000000,1
0.005995,1.713662,-0.098853,0.000000,1
0.006995,1.708207,-0.097133,0.000000,1
0.007994,1.702723,-0.095407,0.000000,1
0.008993,1.697216,-0.093676,0.000000,1
0.009992,1.691696,-0.091939,0.000000,1
0.010991,1.686168,-0.090196,0.000000,1
0.011991,1.680639,-0.088447,0.000000,1
0.012990,1.675118,-0.086691,0.000000,1
0.013989,1.669610,-0.084929,0.000000,1
0.014988,1.664123,-0.083161,0.000000,1
0.015988,1.658663,-0.081385,0.000000,1
0.016987,1.653236,-0.079603,0.000000,1
0.017986,1.647850,-0.077814,0.000000,1
0.018985,1.642509,-0.076018,0.000000,1
0.019984,1.637221,-0.074214,0.000000,1
0.020984,1.631991,-0.072404,0.000000,1
0.021983,1.626825,-0.070586,0.000000,1
0.022982,1.621728,-0.068761,0.000000,1
0.023981,1.616706,-0.066930,0.000000,1
0.024981,1.611765,-0.065091,0.000000,1
0.025980,1.606910,-0.063244,0.000000,1
0.026979,1.602146,-0.061391,0.000000,1
0.027978,1.597478,-0.059531,0.000000,1
0.028977,1.592910,-0.057665,0.000000,1
0.029977,1.588448,-0.055791,0.000000,1
0.030976,1.584096,-0.053911,0.000000,1
0.031975,1.579859,-0.052024,0.000000,1
0.032974,1.575740,-0.050131,0.000000,1
0.033974,1.571744,-0.048232,0.000000,1
0.034973,1.567876,-0.046326,0.000000,1
0.035972,1.564137,-0.044415,0.000000,1
0.036971,1.560534,-0.042498,0.000000,1
0.037971,1.557068,-0.040575,0.000000,1
0.038970,1.553743,-0.038647,0.000000,1
0.039969,1.550563,-0.036714,0.000000,1
0.040968,1.547531,-0.034776,0.000000,1
0.041967,1.544649,-0.032833,0.000000,1
0.042967,1.541921,-0.030885,0.000000,1
0.043966,1.539349,-0.028934,0.000000,1
0.044965,1.536935,-0.026978,0.000000,1
0.045964,1.534681,-0.025019,0.000000,1
0.046964,1.532591,-0.023056,0.000000,1
0.047963,1.530666,-0.021090,0.000000,1
0.048962,1.528907,-0.019120,0.000000,1
0.049961,1.527316,-0.017149,0.000000,1
0.050960,1.525895,-0.015174,0.000000,1
0.051960,1.524646,-0.013198,0.000000,1
0.052959,1.523568,-0.011219,0.000000,1
0.053958,1.522664,-0.009239,0.000000,1
0.054957,1.521934,-0.007257,0.000000,1
0.055957,1.521379,-0.005275,0.000000,1
0.056956,1.521000,-0.003292,0.000000,1
0.057955,1.520796,-0.001308,0.000000,1
0.058954,1.520768,0.000676,0.000000,1
0.059953,1.520916,0.002660,0.000000,1
0.060953,1.521239,0.004643,0.000000,1
0.061952,1.521739,0.006626,0.000000,1
0.062951,1.522413,0.008608,0.000000,1
0.063950,1.523261,0.010589,0.000000,1
0.064950,1.524284,0.012568,0.000000,1
0.065949,1.525479,0.014545,0.000000,1
0.066948,1.526845,0.016520,0.000000,1
0.067947,1.528382,0.018493,0.000000,1
0.068946,1.530087,0.020463,0.000000,1
0.069946,1.531960,0.022430,0.000000,1
0.070945,1.533998,0.024394,0.000000,1
0.071944,1.536200,0.026355,0.000000,1
0.072943,1.538563,0.028311,0.000000,1
0.073943,1.541085,0.030264,0.000000,1
0.074942,1.543764,0.032213,0.000000,1
0.075941,1.546597,0.034157,0.000000,1
0.076940,1.549581,0.036097,0.000000,1
0.077939,1.552715,0.038032,0.000000,1
0.078939,1.555993,0.039961,0.000000,1
0.079938,1.559415,0.041886,0.000000,1
0.080937,1.562975,0.043805,0.000000,1
0.081936,1.566671,0.045718,0.000000,1
0.082936,1.570498,0.047625,0.000000,1
0.083935,1.574454,0.049527,0.000000,1
0.084934,1.578534,0.051422,0.000000,1
0.085933,1.582734,0.053311,0.000000,1
0.086932,1.587050,0.055193,0.000000,1
0.087932,1.591477,0.057069,0.000000,1
0.088931,1.596012,0.058938,0.000000,1
0.089930,1.600648,0.060800,0.000000,1
0.090929,1.605383,0.062655,0.000000,1
0.091929,1.610209,0.064503,0.000000,1
0.092928,1.615124,0.066345,0.000000,1
0.093927,1.620120,0.068179,0.000000,1
0.094926,1.625193,0.070006,0.000000,1
0.095926,1.630338,0.071826,0.000000,1
0.096925,1.635549,0.073638,0.000000,1
0.097924,1.640819,0.075444,0.000000,1
0.098923,1.646144,0.077243,0.000000,1
0.099922,1.651516,0.079034,0.000000,1
0.100922,1.656931,0.080818,0.000000,1
0.101921,1.662381,0.082596,0.000000,1
0.102920,1.667860,0.084367,0.000000,1
0.103919,1.673362,0.086131,0.000000,1
0.104919,1.678880,0.087888,0.000000,1
0.105918,1.684406,0.089639,0.000000,1
0.106917,1.689935,0.091384,0.000000,1
0.107916,1.695459,0.093123,0.000000,1
0.108915,1.700971,0.094856,0.000000,1
0.109915,1.706463,0.096584,0.000000,1
0.110914,1.711928,0.098306,0.000000,1
0.111913,1.717358,0.100023,0.000000,1
0.112912,1.722746,0.101735,0.000000,1
0.113912,1.728083,0.103443,0.000000,1
0.114911,1.733362,0.105146,0.000000,1
0.115910,1.738573,0.106847,0.000000,1
0.116909,1.743710,0.108543,0.000000,1
0.117908,1.745329,0.109059,0.000000,0
0.118908,1.745329,0.108939,0.000000,0
0.119907,1.745329,0.108716,0.000000,0
0.120906,1.745329,0.108390,0.000000,0
0.121905,1.745329,0.107963,0.000000,0
0.122905,1.745329,0.107433,0.000000,0
0.123904,1.745329,0.106801,0.000000,0
0.124903,1.745329,0.106067,0.000000,0
0.125902,1.745329,0.105230,0.000000,0
0.126901,1.745329,0.104292,0.000000,0
0.127901,1.745329,0.103251,0.000000,0
0.128900,1.745329,0.102108,0.000000,0
0.129899,1.745329,0.100862,0.000000,0
0.130898,1.745329,0.099515,0.000000,0
0.131898,1.745329,0.098065,0.000000,0
0.132897,1.745329,0.096513,0.000000,0
0.133896,1.745329,0.094858,0.000000,0
0.134895,1.745329,0.093102,0.000000,0
0.135894,1.745329,0.091243,0.000000,0
0.136894,1.745329,0.089282,0.000000,0
0.137893,1.745329,0.087218,0.000000,0
0.138892,1.745329,0.085053,0.000000,0
0.139891,1.745329,0.082785,0.000000,0
0.140891,1.745329,0.080415,0.000000,0
0.141890,1.745329,0.077943,0.000000,0
0.142889,1.745329,0.075368,0.000000,0
0.143888,1.745329,0.072692,0.000000,0
0.144887,1.745329,0.069965,0.000000,0
0.145887,1.745329,0.067238,0.000000,0
0.146886,1.745329,0.064512,0.000000,0
0.147885,1.745329,0.061785,0.000000,0
0.148884,1.745329,0.059058,0.000000,0
0.149884,1.745329,0.056332,0.000000,0
0.150883,1.745329,0.053605,0.000000,0
0.151882,1.745329,0.050878,0.000000,0
0.152881,1.745329,0.048151,0.000000,0
0.153880,1.745329,0.045425,0.000000,0
0.154880,1.745329,0.042698,0.000000,0
0.155879,1.745329,0.039971,0.000000,0
0.156878,1.745329,0.037245,0.000000,0
0.157877,1.745329,0.034518,0.000000,0
0.158877,1.745329,0.031791,0.000000,0
0.159876,1.745329,0.029065,0.000000,0
0.160875,1.745329,0.026338,0.000000,0
0.161874,1.745329,0.023611,0.000000,0
0.162874,1.745329,0.020884,0.000000,0
0.163873,1.745329,0.018158,0.000000,0
0.164872,1.745329,0.015431,0.000000,0
0.165871,1.745329,0.012704,0.000000,0
0.166870,1.745329,0.009978,0.000000,0
0.167870,1.745329,0.007251,0.000000,0
0.168869,1.745329,0.004524,0.000000,0
0.169868,1.745329,0.001798,0.000000,0
0.170867,1.745329,-0.000929,0.000000,0
0.171867,1.745329,-0.003656,0.000000,0
0.172866,1.745329,-0.006383,0.000000,0
0.173865,1.745329,-0.009109,0.000000,0
0.174864,1.745329,-0.011836,0.000000,0
0.175863,1.745329,-0.014563,0.000000,0
0.176863,1.745329,-0.017289,0.000000,0
0.177862,1.745329,-0.020016,0.000000,0
0.178861,1.745329,-0.022743,0.000000,0
0.179860,1.745329,-0.025469,0.000000,0
0.180860,1.745329,-0.028196,0.000000,0
0.181859,1.745329,-0.030923,0.000000,0
0.182858,1.745329,-0.033649,0.000000,0
0.183857,1.745329,-0.036376,0.000000,0
0.184856,1.745329,-0.039103,0.000000,0
0.185856,1.745329,-0.041830,0.000000,0
0.186855,1.745329,-0.044556,0.000000,0
0.187854,1.745329,-0.047283,0.000000,0
0.188853,1.745329,-0.050010,0.000000,0
0.189853,1.745329,-0.052736,0.000000,0
0.190852,1.745329,-0.055463,0.000000,0
0.191851,1.745329,-0.058190,0.000000,0
0.192850,1.745329,-0.060916,0.000000,0
0.193849,1.745329,-0.063643,0.000000,0
0.194849,1.745329,-0.066370,0.000000,0
0.195848,1.745329,-0.069097,0.000000,0
0.196847,1.745329,-0.071823,0.000000,0
0.197846,1.745329,-0.074527,0.000000,0
0.198846,1.745329,-0.077134,0.000000,0
0.199845,1.745329,-0.079639,0.000000,0
0.200844,1.745329,-0.082041,0.000000,0
0.201843,1.745329,-0.084342,0.000000,0
0.202842,1.745329,-0.086540,0.000000,0
0.203842,1.745329,-0.088636,0.000000,0
0.204841,1.745329,-0.090629,0.000000,0
0.205840,1.745329,-0.092521,0.000000,0
0.206839,1.745329,-0.094310,0.000000,0
0.207839,1.745329,-0.095997,0.000000,0
0.208838,1.745329,-0.097581,0.000000,0
0.209837,1.745329,-0.099064,0.000000,0
0.210836,1.745329,-0.100444,0.000000,0
0.211835,1.745329,-0.101722,0.000000,0
0.212835,1.745329,-0.102898,0.000000,0
0.213834,1.745329,-0.103971,0.000000,0
0.214833,1.745329,-0.104942,0.000000,0
0.215832,1.745329,-0.105811,0.000000,0
0.216832,1.745329,-0.106578,0.000000,0
0.217831,1.745329,-0.107243,0.000000,0
0.218830,1.745329,-0.107805,0.000000,0
0.219829,1.745329,-0.108265,0.000000,0
0.220828,1.745329,-0.108623,0.000000,0
0.221828,1.745329,-0.108879,0.000000,0
0.222827,1.745329,-0.109032,0.000000,0
0.223826,1.745329,-0.109083,0.000000,0
