C.x,C.y,C.z,v.x,v.y,v.z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_orien_w,imu_orien_x,imu_orien_y,imu_orien_z,state_theta_a,state_beta_a,state_theta_b,state_beta_b_original_define,state_beta_b,state_theta_c,state_beta_c_original_define,state_beta_c,state_theta_d,state_beta_d
-1.03341,2.00658,0.11885,-0.029186673,-0.00058662,0.002221752,-0.001478421,-0.005958893,-0.015069992,3.37E-07,-5.61E-06,-8.41E-06,1,2.54E-07,2.02E-05,-1.44E-05,0.385268473,-0.3557745,0.463231473,-0.5723295,0.5723295,0.463231473,0.5723295,-0.5723295,0.385268473,0.3557745
-1.03355,2.00658,0.118858,-0.029194369,-0.000615649,0.002146943,-0.001552406,-0.00580544,-0.014959992,3.37E-07,-7.45E-06,-9.39E-06,1,2.55E-07,2.02E-05,-1.44E-05,0.385559973,-0.356947,0.463780473,-0.5742155,0.5742155,0.463780473,0.5742155,-0.5742155,0.385559973,0.356947
-1.0337,2.00657,0.118867,-0.029202565,-0.000643908,0.002072544,-0.001636992,-0.005651426,-0.014879992,3.37E-07,-8.90E-06,-1.22E-05,1,2.56E-07,2.01E-05,-1.44E-05,0.385851973,-0.358119,0.464328973,-0.576101,0.576101,0.464328973,0.576101,-0.576101,0.385851973,0.358119
-1.03384,2.00657,0.118875,-0.029211061,-0.000671705,0.001998475,-0.00168559,-0.005559043,-0.014819992,3.37E-07,-1.01E-05,-1.48E-05,1,2.57E-07,2.01E-05,-1.45E-05,0.386143473,-0.3592915,0.464877973,-0.577987,0.577987,0.464877973,0.577987,-0.577987,0.386143473,0.3592915
-1.03399,2.00657,0.118883,-0.029219357,-0.000698791,0.001924636,-0.001659279,-0.005416579,-0.014769992,3.37E-07,-1.12E-05,-1.45E-05,1,2.58E-07,2.01E-05,-1.45E-05,0.386435473,-0.3604635,0.465425973,-0.579873,0.579873,0.465425973,0.579873,-0.579873,0.386435473,0.3604635
-1.03414,2.00656,0.11889,-0.029227553,-0.000725438,0.001850988,-0.00165651,-0.005329096,-0.014729992,3.37E-07,-1.20E-05,-1.50E-05,1,2.58E-07,2.01E-05,-1.45E-05,0.386726973,-0.361636,0.465974473,-0.5817585,0.5817585,0.465974973,0.581759,-0.581759,0.386727473,0.3616355
-1.03428,2.00656,0.118897,-0.029235849,-0.000751845,0.001777469,-0.001656342,-0.005280832,-0.014699992,3.37E-07,-1.27E-05,-1.56E-05,1,2.59E-07,2.00E-05,-1.46E-05,0.387018973,-0.362808,0.466523473,-0.5836445,0.5836445,0.466523473,0.5836445,-0.5836445,0.387018973,0.362808
-1.03443,2.00655,0.118904,-0.029241145,-0.000778021,0.001704211,-0.001055131,-0.005234819,-0.014649992,3.37E-07,-1.32E-05,-1.52E-05,1,2.60E-07,2.00E-05,-1.46E-05,0.387311473,-0.3639805,0.467071973,-0.58553,0.58553,0.467072473,0.5855305,-0.5855305,0.387310973,0.36398
-1.03457,2.00655,0.11891,-0.029217944,-0.000791608,0.001651436,0.004648179,-0.002716986,-0.010549992,3.37E-07,0.000104968,-7.57E-06,1,2.61E-07,2.03E-05,-1.46E-05,0.387602973,-0.365153,0.467620973,-0.587416,0.587416,0.467620973,0.587416,-0.587416,0.387602473,0.3651525
-1.03472,2.00655,0.118916,-0.029210345,-0.000786481,0.001630275,0.00152321,0.001025628,-0.004219991,3.37E-07,0.000285268,-9.29E-06,1,2.62E-07,2.10E-05,-1.46E-05,0.387894973,-0.366325,0.468169473,-0.5893015,0.5893015,0.468169973,0.589302,-0.589302,0.387894473,0.3663245
